label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome
version	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC
Adding100Items
Async	34.257866267726094
Sync	54.02923270245355
total	88.32598773802472
CompletingAllItems
Async	14.188640562647723
Sync	9.932759638389125
total	24.126184977002353
DeletingItems
Async	2.6692363858434267
Sync	17.623615015940974
total	20.29809177624188
total	132.76327354597228
AngularJS-TodoMVC
Adding100Items
Async	49.251036263849244
Sync	242.17820012622624
total	292.2630509505651
CompletingAllItems
Async	30.229198543138967
Sync	76.37675271685903
total	106.89704407193271
DeletingAllItems
Async	16.122298750608756
Sync	275.7610880136761
total	291.9777880631619
total	700.1787600895768
BackboneJS-TodoMVC
Adding100Items
Async	40.24649943696456
Sync	71.17631662187563
total	111.43367792673584
CompletingAllItems
Async	31.368704370857376
Sync	47.21104627914391
total	78.6150586177434
DeletingAllItems
Async	3.514711659569729
Sync	30.687574926400764
total	34.246967888801706
total	224.5379009700269
Elm-TodoMVC
Adding100Items
Async	49.775812658101636
Sync	147.32813425558027
total	198.62591862789733
CompletingAllItems
Async	35.47703487437585
Sync	139.15460629307879
total	175.88056579623878
DeletingItems
Async	10.081266720589051
Sync	145.86931493980677
total	156.42081737449618
total	543.2887869405554
EmberJS-Debug-TodoMVC
Adding100Items
Async	43.01394666784484
Sync	580.5503097497412
total	623.6323680524475
CompletingAllItems
Async	31.173335351279608
Sync	391.76043819042314
total	423.1402675473168
DeletingItems
Async	8.79720120306799
Sync	407.6359833119105
total	417.41356222208213
total	1475.3709864946504
EmberJS-TodoMVC
Adding100Items
Async	38.08205171109934
Sync	203.68539676899994
total	241.91106291890236
CompletingAllItems
Async	33.232600813509876
Sync	123.46307000354005
total	157.59336795552684
DeletingItems
Async	3.3687814386604016
Sync	77.69252403950468
total	81.56737694570913
total	481.9423314137606
Flight-TodoMVC
Adding100Items
Async	36.36744284292751
Sync	106.89446299541508
total	143.6771201002194
CompletingAllItems
Async	28.114539136719817
Sync	107.4133545589733
total	135.54024051863922
DeletingItems
Async	3.2323519628900947
Sync	89.60797301900583
total	93.01949851038043
total	373.6890034404866
Inferno-TodoMVC
Adding100Items
Async	42.42879377592929
Sync	50.96813555347706
total	93.69013947466327
CompletingAllItems
Async	10.255859493780319
Sync	116.86363381438997
total	127.56389565703263
DeletingItems
Async	3.083098226460923
Sync	260.35798542214326
total	263.5277636655006
total	486.0836235214614
Preact-TodoMVC
Adding100Items
Async	43.858344328195834
Sync	6.651940950619469
total	50.5271165033467
CompletingAllItems
Async	30.26480333415158
Sync	3.9958194634413413
total	34.26919000882227
DeletingItems
Async	6.040769497426609
Sync	2.2398581293453654
total	8.306728724137368
total	93.16594177433204
React-Redux-TodoMVC
Adding100Items
Async	40.25126322101868
Sync	205.11631406769553
total	246.49335229335287
CompletingAllItems
Async	28.815161066360762
Sync	180.414288480569
total	209.34633697479728
DeletingItems
Async	4.529243461141258
Sync	119.36717522132732
total	124.35095352158974
total	587.0593281423377
React-TodoMVC
Adding100Items
Async	41.216878353075906
Sync	161.1365008681644
total	203.50021376932017
CompletingAllItems
Async	31.67263582148807
Sync	107.34727529674207
total	140.16643626652547
DeletingAllItems
Async	4.5419524069544766
Sync	58.14975117658329
total	63.55283561650861
total	418.53865795982455
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	34.020576320079414
Sync	330.55016120716095
total	364.59832593309307
CompletingAllItems
Async	27.369025095340156
Sync	71.12565200702855
total	98.51069556919367
DeletingItems
Async	3.0091838777137876
Sync	45.005350509776335
total	48.01585976117465
total	511.13628615650595
Vanilla-ES2015-TodoMVC
Adding100Items
Async	33.60711713881647
Sync	340.38834076095736
total	374.02790192238353
CompletingAllItems
Async	28.84234221721635
Sync	70.72305363482239
total	99.57394700556165
DeletingItems
Async	2.809484169657278
Sync	44.539670974412985
total	47.35040041234948
total	520.9655263310171
VanillaJS-TodoMVC
Adding100Items
Async	33.42797803042362
Sync	239.22671535758366
total	272.682019383544
CompletingAllItems
Async	27.79514709001302
Sync	61.79361206247669
total	89.6196011248793
DeletingAllItems
Async	3.486686417467227
Sync	40.6060242495194
total	44.22490118603576
total	406.71064048747263
VueJS-TodoMVC
Adding100Items
Async	61.30206964244396
Sync	9.11572619217334
total	70.42807404972548
CompletingAllItems
Async	32.66569915070072
Sync	3.9473958854694065
total	36.64558742912312
DeletingAllItems
Async	8.668814682196997
Sync	5.573382714346243
total	14.320286152489421
total	121.77498002039012
jQuery-TodoMVC
Adding100Items
Async	42.31381909940515
Sync	527.7307287479601
total	570.0568940614645
CompletingAllItems
Async	38.391131880294445
Sync	1003.5075447875855
total	1041.9348241704854
DeletingAllItems
Async	2.989902930723384
Sync	529.7814457264896
total	532.8189374389417
total	2145.2344234464604
geomean	420.30686353536834
mean	578.8985867484374
score	47.584281236266406
total	9262.377387974999
