label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC		
Adding100Items		
Async	33.538260428328925	33.74871825490046
Sync	50.54110812573018	49.52272421015089
total	84.1044275896873	83.30327775909177
CompletingAllItems		
Async	14.985417582035852	16.136570406467648
Sync	9.68633971708442	9.644339044727879
total	24.759709781410752	25.950863251182046
DeletingItems		
Async	2.6688699191080087	3.014905062253767
Sync	17.675015899976948	17.44160146903302
total	20.345005064408017	20.670838941924075
total	129.37478707424535	130.26042511790445
AngularJS-TodoMVC		
Adding100Items		
Async	43.89093806237174	43.766349939868924
Sync	215.14773359376642	214.65107998363288
total	259.0820849355286	258.7485705118039
CompletingAllItems		
Async	28.499337797883584	29.091544190036423
Sync	67.12293289175992	66.28868078800616
total	95.63210271084883	95.41559832335301
DeletingAllItems		
Async	15.459955574700372	13.345405303551898
Sync	245.6579559410738	220.11413879267096
total	261.52083353031475	233.46843696820028
total	618.6280181832079	589.514569305926
BackboneJS-TodoMVC		
Adding100Items		
Async	40.07853091504755	40.05787555065085
Sync	70.23374388695451	69.22345658775265
total	110.3266056738373	109.29279023093676
CompletingAllItems		
Async	31.19895279015274	31.22854640478006
Sync	46.03171793109905	45.43244212574227
total	77.23272850984884	76.66241450377953
DeletingAllItems		
Async	3.5888175394817576	3.449457389036735
Sync	29.400980380009464	28.81115949070952
total	33.007879722740014	32.2731386537804
total	220.59190521674586	218.24915685211425
Elm-TodoMVC		
Adding100Items		
Async	46.667434524782855	47.47621157326939
Sync	121.77523706310117	131.6330643881676
total	169.5730723103266	180.73191129334137
CompletingAllItems		
Async	34.33096457273675	34.22059940408607
Sync	133.987238235521	126.8127020550632
total	169.6434358957009	161.87702326348398
DeletingItems		
Async	10.275024436284422	9.80866118668724
Sync	155.28212182871604	132.71178188344336
total	166.16363726204898	142.90260760194963
total	523.8754503958555	495.9726298103802
EmberJS-Debug-TodoMVC		
Adding100Items		
Async	43.18225116986193	44.65055614136621
Sync	535.7959146130677	554.2054545647566
total	579.0046625791672	598.8885832362953
CompletingAllItems		
Async	30.01914967076641	29.369561274710424
Sync	342.9028973499703	347.50933163563764
total	373.06318295383545	376.94351104082074
DeletingItems		
Async	5.701822236950915	5.056523244807153
Sync	384.0259868102089	375.66102156848933
total	390.42635658938394	381.482087938144
total	1348.4204396708865	1362.0922631800804
EmberJS-TodoMVC		
Adding100Items		
Async	37.552349488760875	36.687309453077035
Sync	200.68410600014565	191.16441649908612
total	238.35241023706604	227.9060257039738
CompletingAllItems		
Async	29.689845354355327	29.00130342894309
Sync	122.50298013311736	124.34394133816309
total	152.3870950609049	153.65085820178186
DeletingItems		
Async	3.479856710527418	3.294810513299073
Sync	79.7706225639913	80.17998027642068
total	83.51603056704776	83.84138674488001
total	476.4555689639891	467.69421921839415
Flight-TodoMVC		
Adding100Items		
Async	35.568338911024334	35.62868247370595
Sync	96.90011020894656	95.02338639689496
total	132.4763497916849	130.65673839653857
CompletingAllItems		
Async	27.498009031408966	27.667733107173785
Sync	103.37097460587752	103.4866305635702
total	130.871571087093	131.15674760083033
DeletingItems		
Async	2.856555783976868	2.835328357365224
Sync	86.25488288869718	85.76340983305646
total	89.11582811615654	88.60198047259007
total	352.4673250158889	350.42666653656903
Inferno-TodoMVC		
Adding100Items		
Async	36.86758777991847	37.01577948517664
Sync	46.590830128470216	48.34728995330911
total	83.49370981584734	85.42829085153421
CompletingAllItems		
Async	6.906262794587639	6.732431763217565
Sync	99.91132095367841	101.12887886916471
total	107.051714400508	108.0996241774357
DeletingItems		
